is_smell,CountLine,CyclomaticStrict,MaxNesting
False,3.0,1.0,0.0
False,4.0,1.0,0.0
False,7.0,2.0,1.0
False,29.0,2.0,1.0
False,4.0,1.0,0.0
False,8.0,1.0,0.0
False,40.0,2.0,1.0
True,35.0,7.0,1.0
True,32.0,6.0,3.0
False,29.0,5.0,2.0
False,18.0,3.0,2.0
False,7.0,1.0,0.0
False,13.0,1.0,0.0
False,7.0,2.0,1.0
True,35.0,30.0,3.0
False,7.0,2.0,1.0
True,29.0,4.0,2.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,31.0,2.0,0.0
False,7.0,2.0,1.0
False,11.0,2.0,1.0
False,12.0,2.0,1.0
False,6.0,2.0,0.0
False,8.0,1.0,0.0
False,50.0,4.0,1.0
False,12.0,5.0,2.0
False,3.0,1.0,0.0
False,9.0,2.0,1.0
False,8.0,2.0,1.0
False,4.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,32.0,1.0,0.0
True,69.0,20.0,4.0
False,3.0,1.0,0.0
True,65.0,3.0,1.0
False,3.0,1.0,0.0
False,7.0,1.0,0.0
False,3.0,1.0,0.0
False,13.0,1.0,0.0
False,11.0,2.0,1.0
False,3.0,1.0,0.0
False,8.0,1.0,0.0
False,10.0,3.0,1.0
False,3.0,1.0,0.0
True,33.0,5.0,2.0
True,26.0,11.0,3.0
True,38.0,7.0,4.0
False,3.0,1.0,0.0
True,24.0,4.0,1.0
False,11.0,1.0,0.0
True,13.0,4.0,2.0
False,12.0,3.0,2.0
False,4.0,1.0,0.0
False,3.0,1.0,0.0
True,26.0,3.0,1.0
False,16.0,6.0,1.0
False,21.0,1.0,0.0
False,5.0,2.0,0.0
False,3.0,1.0,0.0
True,53.0,3.0,0.0
False,4.0,1.0,0.0
True,39.0,1.0,0.0
False,34.0,7.0,1.0
False,10.0,2.0,1.0
False,6.0,2.0,1.0
False,3.0,1.0,0.0
False,10.0,3.0,2.0
False,3.0,1.0,0.0
True,69.0,2.0,1.0
False,9.0,1.0,0.0
False,12.0,1.0,0.0
False,6.0,2.0,1.0
False,3.0,1.0,0.0
False,4.0,1.0,0.0
False,4.0,1.0,0.0
False,5.0,1.0,0.0
False,6.0,2.0,1.0
False,4.0,1.0,0.0
False,4.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,4.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,13.0,1.0,0.0
False,6.0,1.0,0.0
False,4.0,1.0,0.0
False,13.0,1.0,0.0
False,5.0,1.0,0.0
False,6.0,2.0,1.0
False,4.0,1.0,0.0
False,19.0,4.0,2.0
True,49.0,8.0,3.0
False,8.0,2.0,1.0
False,3.0,1.0,0.0
False,10.0,1.0,0.0
True,58.0,3.0,4.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,8.0,1.0,0.0
False,12.0,2.0,1.0
False,9.0,2.0,1.0
False,18.0,5.0,2.0
False,13.0,1.0,0.0
False,7.0,1.0,0.0
False,12.0,3.0,1.0
False,6.0,2.0,1.0
False,3.0,1.0,0.0
False,5.0,1.0,0.0
False,5.0,2.0,1.0
False,8.0,3.0,1.0
False,3.0,1.0,0.0
False,12.0,1.0,0.0
False,14.0,5.0,1.0
True,16.0,1.0,0.0
False,8.0,1.0,0.0
False,23.0,1.0,0.0
False,5.0,1.0,0.0
False,5.0,1.0,0.0
False,22.0,5.0,2.0
False,10.0,7.0,0.0
False,6.0,1.0,0.0
False,10.0,2.0,1.0
False,7.0,1.0,0.0
False,10.0,1.0,0.0
False,3.0,1.0,0.0
True,132.0,17.0,3.0
False,3.0,1.0,0.0
False,20.0,4.0,1.0
False,8.0,2.0,1.0
False,36.0,5.0,2.0
False,25.0,2.0,0.0
False,6.0,1.0,0.0
False,3.0,1.0,0.0
False,24.0,2.0,1.0
False,7.0,1.0,0.0
False,9.0,2.0,1.0
False,15.0,4.0,3.0
False,10.0,4.0,1.0
False,3.0,1.0,0.0
False,12.0,3.0,1.0
False,4.0,1.0,0.0
False,5.0,1.0,0.0
False,5.0,1.0,0.0
False,4.0,2.0,0.0
False,14.0,3.0,1.0
False,15.0,3.0,1.0
False,4.0,1.0,0.0
False,18.0,5.0,1.0
False,16.0,4.0,3.0
False,3.0,1.0,0.0
False,9.0,2.0,1.0
False,3.0,1.0,0.0
True,56.0,9.0,2.0
False,3.0,1.0,0.0
False,8.0,1.0,0.0
False,8.0,1.0,0.0
False,2.0,1.0,0.0
False,3.0,2.0,0.0
False,16.0,1.0,0.0
False,5.0,1.0,0.0
False,13.0,2.0,1.0
False,12.0,2.0,1.0
False,8.0,1.0,0.0
False,9.0,1.0,0.0
False,16.0,5.0,2.0
False,32.0,4.0,1.0
False,3.0,3.0,0.0
False,5.0,1.0,0.0
False,3.0,2.0,0.0
False,5.0,1.0,0.0
False,14.0,1.0,0.0
False,3.0,2.0,0.0
False,3.0,1.0,0.0
False,22.0,4.0,1.0
False,3.0,1.0,0.0
False,15.0,2.0,1.0
False,3.0,1.0,0.0
False,8.0,2.0,1.0
False,16.0,4.0,3.0
False,15.0,1.0,0.0
False,14.0,2.0,0.0
True,82.0,2.0,1.0
False,84.0,1.0,0.0
False,24.0,3.0,2.0
False,23.0,3.0,2.0
False,3.0,1.0,0.0
False,20.0,1.0,0.0
False,10.0,1.0,0.0
False,4.0,1.0,0.0
False,13.0,2.0,1.0
False,7.0,2.0,1.0
False,19.0,4.0,2.0
True,21.0,6.0,3.0
False,10.0,3.0,1.0
False,3.0,1.0,0.0
True,41.0,4.0,3.0
False,9.0,5.0,1.0
False,13.0,2.0,1.0
False,10.0,1.0,0.0
False,6.0,1.0,0.0
False,3.0,1.0,0.0
True,35.0,4.0,1.0
False,11.0,3.0,2.0
False,3.0,1.0,0.0
False,7.0,2.0,1.0
False,9.0,2.0,1.0
False,4.0,1.0,0.0
False,4.0,1.0,0.0
False,23.0,4.0,1.0
False,5.0,3.0,1.0
False,6.0,1.0,0.0
False,28.0,1.0,0.0
False,9.0,2.0,1.0
False,14.0,2.0,1.0
False,9.0,1.0,0.0
True,47.0,4.0,2.0
False,17.0,7.0,2.0
False,3.0,1.0,0.0
False,9.0,2.0,1.0
False,12.0,1.0,0.0
False,7.0,1.0,0.0
False,3.0,1.0,0.0
True,45.0,4.0,1.0
False,17.0,2.0,1.0
False,3.0,1.0,0.0
False,32.0,1.0,0.0
False,3.0,1.0,0.0
False,12.0,3.0,2.0
False,3.0,1.0,0.0
False,8.0,3.0,1.0
False,5.0,1.0,0.0
False,13.0,1.0,0.0
False,9.0,2.0,1.0
True,46.0,7.0,4.0
False,17.0,1.0,0.0
False,9.0,1.0,0.0
False,9.0,1.0,0.0
False,8.0,2.0,0.0
False,18.0,2.0,1.0
True,42.0,10.0,3.0
False,3.0,1.0,0.0
False,12.0,2.0,1.0
False,7.0,1.0,0.0
False,6.0,1.0,0.0
False,12.0,4.0,1.0
False,11.0,2.0,1.0
False,14.0,1.0,0.0
False,5.0,1.0,0.0
False,5.0,1.0,0.0
False,5.0,1.0,0.0
False,5.0,1.0,0.0
False,11.0,1.0,0.0
False,15.0,1.0,0.0
False,11.0,1.0,0.0
True,92.0,6.0,1.0
False,3.0,1.0,0.0
False,5.0,1.0,0.0
False,5.0,1.0,0.0
False,11.0,3.0,1.0
False,5.0,1.0,0.0
False,15.0,1.0,0.0
True,86.0,6.0,1.0
False,4.0,1.0,0.0
False,3.0,1.0,0.0
False,15.0,1.0,0.0
False,3.0,1.0,0.0
False,6.0,2.0,1.0
False,9.0,3.0,1.0
True,145.0,9.0,5.0
False,5.0,1.0,0.0
False,3.0,1.0,0.0
False,6.0,2.0,1.0
False,7.0,2.0,1.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,15.0,3.0,2.0
False,6.0,1.0,0.0
False,12.0,5.0,1.0
False,7.0,2.0,1.0
False,17.0,4.0,3.0
False,3.0,1.0,0.0
False,6.0,3.0,0.0
False,3.0,1.0,0.0
False,9.0,1.0,0.0
False,3.0,1.0,0.0
False,4.0,1.0,0.0
False,10.0,2.0,1.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,7.0,1.0,0.0
False,13.0,1.0,0.0
False,3.0,1.0,0.0
False,4.0,1.0,0.0
False,5.0,1.0,0.0
False,10.0,1.0,0.0
False,10.0,2.0,0.0
False,25.0,3.0,1.0
False,7.0,1.0,0.0
False,6.0,1.0,0.0
False,19.0,3.0,3.0
True,58.0,11.0,2.0
True,40.0,8.0,1.0
False,3.0,1.0,0.0
False,7.0,1.0,0.0
False,3.0,1.0,0.0
False,14.0,4.0,1.0
False,13.0,2.0,1.0
False,5.0,1.0,0.0
False,9.0,2.0,1.0
False,9.0,3.0,1.0
True,104.0,19.0,2.0
False,7.0,1.0,0.0
False,9.0,3.0,2.0
False,15.0,4.0,2.0
True,29.0,7.0,3.0
False,10.0,1.0,0.0
False,14.0,1.0,0.0
False,5.0,1.0,0.0
False,6.0,1.0,0.0
False,9.0,2.0,0.0
False,6.0,1.0,0.0
True,10.0,5.0,0.0
False,20.0,3.0,1.0
False,20.0,5.0,2.0
False,4.0,1.0,0.0
False,4.0,1.0,0.0
False,2.0,1.0,0.0
False,2.0,1.0,0.0
False,2.0,1.0,0.0
False,21.0,9.0,2.0
False,7.0,2.0,1.0
False,12.0,3.0,1.0
False,11.0,4.0,1.0
False,16.0,1.0,0.0
False,3.0,1.0,0.0
False,10.0,1.0,0.0
False,8.0,4.0,1.0
False,10.0,3.0,1.0
False,7.0,2.0,1.0
False,8.0,1.0,1.0
False,6.0,1.0,0.0
False,5.0,2.0,1.0
False,7.0,2.0,1.0
False,32.0,4.0,2.0
True,48.0,13.0,3.0
False,16.0,2.0,1.0
False,39.0,4.0,2.0
False,14.0,1.0,0.0
False,8.0,7.0,0.0
False,17.0,3.0,2.0
False,36.0,4.0,2.0
False,11.0,2.0,1.0
False,4.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,38.0,1.0,0.0
False,4.0,1.0,0.0
False,4.0,1.0,0.0
False,5.0,1.0,0.0
False,3.0,1.0,0.0
True,102.0,20.0,3.0
False,17.0,1.0,0.0
False,11.0,1.0,0.0
False,3.0,1.0,0.0
False,4.0,1.0,0.0
False,15.0,3.0,1.0
False,6.0,2.0,0.0
False,6.0,2.0,1.0
False,6.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,9.0,2.0,1.0
False,9.0,3.0,1.0
False,16.0,3.0,1.0
False,6.0,1.0,0.0
False,17.0,5.0,3.0
False,6.0,1.0,0.0
False,3.0,1.0,0.0
False,5.0,1.0,0.0
False,31.0,10.0,2.0
False,13.0,2.0,1.0
False,18.0,2.0,1.0
False,4.0,1.0,0.0
False,15.0,1.0,0.0
False,12.0,1.0,0.0
False,8.0,2.0,1.0
False,15.0,2.0,1.0
False,6.0,2.0,1.0
False,3.0,1.0,0.0
False,21.0,6.0,1.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
True,78.0,10.0,5.0
True,34.0,8.0,3.0
False,10.0,1.0,1.0
False,8.0,2.0,1.0
False,20.0,2.0,1.0
False,22.0,4.0,2.0
False,17.0,4.0,2.0
False,13.0,1.0,0.0
False,15.0,1.0,0.0
False,8.0,1.0,0.0
False,7.0,1.0,0.0
True,66.0,12.0,4.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,26.0,1.0,0.0
False,8.0,1.0,0.0
False,11.0,1.0,0.0
False,6.0,5.0,1.0
False,11.0,1.0,0.0
False,3.0,1.0,0.0
False,4.0,1.0,0.0
False,4.0,1.0,0.0
True,119.0,28.0,5.0
False,4.0,1.0,0.0
False,6.0,2.0,1.0
True,95.0,11.0,5.0
False,5.0,1.0,0.0
False,20.0,1.0,0.0
True,48.0,15.0,3.0
False,14.0,2.0,1.0
True,51.0,8.0,3.0
False,12.0,5.0,2.0
False,22.0,4.0,2.0
False,18.0,2.0,1.0
False,3.0,1.0,0.0
False,10.0,1.0,0.0
False,12.0,2.0,1.0
False,11.0,3.0,1.0
False,21.0,3.0,2.0
False,6.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
True,27.0,6.0,1.0
False,3.0,1.0,0.0
False,5.0,1.0,0.0
False,5.0,2.0,0.0
False,3.0,1.0,0.0
False,15.0,5.0,3.0
True,28.0,5.0,3.0
False,8.0,1.0,0.0
True,43.0,10.0,2.0
False,29.0,6.0,1.0
False,23.0,7.0,2.0
False,6.0,1.0,0.0
False,3.0,1.0,0.0
False,83.0,7.0,3.0
False,1.0,1.0,0.0
False,26.0,1.0,0.0
False,8.0,3.0,1.0
False,8.0,2.0,1.0
False,39.0,5.0,1.0
False,10.0,2.0,1.0
False,5.0,1.0,0.0
False,16.0,3.0,1.0
False,3.0,1.0,0.0
False,9.0,1.0,0.0
True,61.0,7.0,1.0
False,10.0,1.0,0.0
False,9.0,1.0,0.0
False,4.0,1.0,0.0
False,13.0,4.0,2.0
False,10.0,2.0,1.0
False,4.0,1.0,0.0
False,19.0,3.0,1.0
False,6.0,1.0,0.0
False,6.0,1.0,0.0
False,3.0,1.0,0.0
False,7.0,2.0,1.0
False,5.0,3.0,1.0
False,3.0,1.0,0.0
False,8.0,2.0,1.0
False,3.0,1.0,0.0
False,10.0,2.0,0.0
False,3.0,1.0,0.0
False,15.0,2.0,1.0
False,3.0,1.0,0.0
False,9.0,3.0,1.0
False,3.0,1.0,0.0
False,8.0,6.0,1.0
False,11.0,1.0,0.0
False,50.0,11.0,2.0
True,25.0,13.0,3.0
False,14.0,4.0,2.0
False,6.0,1.0,0.0
False,5.0,1.0,0.0
False,6.0,1.0,0.0
False,5.0,1.0,0.0
False,4.0,1.0,0.0
False,3.0,1.0,0.0
False,7.0,5.0,0.0
False,9.0,2.0,1.0
False,4.0,1.0,0.0
False,8.0,1.0,0.0
False,24.0,4.0,2.0
False,26.0,4.0,2.0
False,15.0,1.0,0.0
False,14.0,1.0,0.0
False,3.0,1.0,0.0
False,15.0,2.0,1.0
False,12.0,1.0,0.0
False,6.0,2.0,1.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,7.0,3.0,0.0
False,5.0,1.0,0.0
False,6.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,4.0,1.0,0.0
True,44.0,7.0,2.0
False,3.0,1.0,0.0
False,9.0,2.0,1.0
False,17.0,1.0,0.0
False,28.0,10.0,2.0
False,6.0,1.0,0.0
False,15.0,3.0,2.0
False,12.0,1.0,0.0
False,15.0,3.0,1.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,10.0,2.0,1.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
True,35.0,6.0,4.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,7.0,2.0,1.0
False,12.0,3.0,1.0
False,7.0,3.0,0.0
False,4.0,1.0,0.0
False,4.0,1.0,0.0
False,5.0,2.0,0.0
False,14.0,1.0,0.0
False,4.0,1.0,0.0
False,4.0,3.0,0.0
False,26.0,3.0,2.0
False,21.0,4.0,3.0
False,4.0,1.0,0.0
False,11.0,3.0,1.0
False,9.0,2.0,1.0
False,3.0,1.0,0.0
False,4.0,2.0,1.0
False,3.0,2.0,0.0
True,26.0,8.0,4.0
False,3.0,1.0,0.0
False,6.0,2.0,1.0
False,3.0,1.0,0.0
False,14.0,2.0,1.0
False,11.0,2.0,1.0
True,48.0,12.0,2.0
False,3.0,1.0,0.0
False,4.0,1.0,0.0
True,38.0,1.0,0.0
True,45.0,8.0,4.0
False,19.0,2.0,1.0
False,20.0,3.0,1.0
False,10.0,3.0,2.0
False,20.0,2.0,1.0
False,19.0,2.0,1.0
False,26.0,6.0,2.0
False,12.0,2.0,1.0
False,9.0,1.0,0.0
False,30.0,1.0,0.0
False,12.0,1.0,0.0
False,9.0,1.0,0.0
False,14.0,2.0,1.0
False,28.0,3.0,0.0
False,23.0,3.0,1.0
False,12.0,1.0,0.0
False,13.0,2.0,1.0
False,11.0,1.0,0.0
False,28.0,2.0,1.0
False,24.0,3.0,2.0
False,7.0,1.0,0.0
True,31.0,8.0,4.0
False,20.0,1.0,0.0
True,116.0,15.0,6.0
False,6.0,1.0,0.0
False,20.0,1.0,0.0
False,14.0,1.0,0.0
False,34.0,5.0,1.0
False,5.0,1.0,0.0
False,25.0,4.0,3.0
False,10.0,1.0,0.0
False,8.0,1.0,0.0
False,8.0,1.0,0.0
False,6.0,1.0,0.0
False,4.0,1.0,0.0
False,22.0,3.0,1.0
True,30.0,6.0,4.0
False,8.0,1.0,0.0
True,71.0,18.0,5.0
False,8.0,3.0,2.0
False,13.0,3.0,2.0
False,10.0,1.0,0.0
False,23.0,6.0,3.0
False,16.0,1.0,0.0
False,19.0,3.0,2.0
False,5.0,2.0,1.0
False,6.0,2.0,1.0
False,4.0,1.0,0.0
False,7.0,2.0,1.0
False,4.0,1.0,0.0
False,3.0,1.0,0.0
False,10.0,4.0,2.0
False,6.0,1.0,0.0
False,3.0,1.0,0.0
False,22.0,2.0,1.0
False,3.0,1.0,0.0
False,12.0,2.0,1.0
False,6.0,4.0,0.0
False,8.0,1.0,0.0
False,3.0,1.0,0.0
False,7.0,1.0,0.0
False,6.0,1.0,0.0
False,12.0,2.0,1.0
False,23.0,2.0,1.0
False,13.0,2.0,1.0
False,24.0,1.0,0.0
False,31.0,3.0,2.0
False,30.0,2.0,1.0
False,80.0,4.0,2.0
True,335.0,59.0,4.0
False,45.0,5.0,1.0
False,12.0,1.0,0.0
False,4.0,1.0,0.0
False,4.0,1.0,0.0
False,11.0,1.0,0.0
False,28.0,2.0,1.0
False,3.0,1.0,0.0
False,1.0,1.0,0.0
False,15.0,1.0,0.0
False,29.0,4.0,3.0
False,23.0,2.0,1.0
True,39.0,6.0,3.0
False,7.0,1.0,0.0
False,7.0,1.0,0.0
True,143.0,27.0,3.0
True,49.0,7.0,4.0
True,120.0,12.0,2.0
False,26.0,2.0,1.0
False,15.0,3.0,1.0
False,8.0,1.0,0.0
False,7.0,1.0,0.0
True,74.0,7.0,3.0
False,22.0,3.0,1.0
False,28.0,7.0,1.0
False,5.0,3.0,0.0
False,25.0,9.0,1.0
False,31.0,1.0,0.0
False,53.0,1.0,0.0
False,12.0,3.0,1.0
False,3.0,1.0,0.0
False,14.0,8.0,1.0
False,19.0,3.0,2.0
False,3.0,1.0,0.0
False,3.0,1.0,0.0
False,19.0,1.0,0.0
True,41.0,5.0,2.0
False,4.0,1.0,0.0
False,6.0,1.0,0.0
False,1.0,1.0,0.0
True,32.0,5.0,1.0
False,23.0,4.0,3.0
False,6.0,1.0,0.0
False,15.0,2.0,1.0
False,5.0,1.0,0.0
False,32.0,9.0,3.0
False,10.0,7.0,2.0
True,82.0,22.0,4.0
False,27.0,4.0,2.0
False,3.0,1.0,0.0
False,4.0,1.0,0.0
False,19.0,3.0,1.0
False,3.0,1.0,0.0
False,4.0,1.0,0.0
False,6.0,1.0,0.0
False,4.0,1.0,0.0
False,7.0,1.0,0.0
False,14.0,2.0,0.0
False,7.0,2.0,0.0
